id;line_1;line_2;city;state;country;zipcode
1;mindshare Interactions Versatile;Frozen Rubber line;Ricardobury;Sports withdrawal Architect;Singapore;88043
2;Michigan Corporate Mandatory;Health didactic;Port Naomiberg;Kids;Bosnia and Herzegovina;96591
3;Car Table invoice;Berkshire Designer the;Haleyhaven;policy;Kiribati;30331
4;hacking;Timor-Leste;South Nora;Account;Romania;2352
5;Home Guilder;Human National Soap;Starkchester;Shoes;Switzerland;88266
6;Shirt;USB;New Isabelle;Bacon morph;Tajikistan;74980
7;National;Taka JBOD state;Douglaston;invoice;Saint Pierre and Miquelon;96903
8;Luxembourg Awesome;Representative;Rowefurt;bus Cheese;Montserrat;27124
9;Tasty time-frame evolve;Cuban Metal;Treutelshire;Personal calculating;Czech Republic;1713
10;Cameroon Pizza Grass-roots;transparent purple alarm;Lake Kelsie;Plastic compressing;Barbados;89668
