id;car;brand;model;year;color;jhi_condition;minor_issues;city;state;zipcode;owner_id
1;SMS Shoes;Vision-oriented;Operative 1080p;6048;red;Creative Chicken;overriding;Josephineberg;silver Associate;65758;96959
2;backing Consultant;Architect JSON;Riyal programming;84161;orchid;Mills gold;Kentucky SDD;Quitzonfort;Tugrik knowledge;82115;60470
3;Human mobile Arkansas;Home;Bacon;77184;orange;Future;Arizona;Chino;Rustic;37225;44706
4;attitude;green;parse Tasty deposit;24743;black;Fish applications red;parsing Knoll Ecuador;Coral Springs;Gloves;46042;37437
5;Jersey Tools structure;Sausages;International;45311;sky blue;synthesize;interface generate;Stehrville;USB compress;26664;4558
6;web-readiness Practical target;haptic focus;Personal turquoise;9105;olive;Mobility quantifying;redefine;Quincy;frictionless Cambridgeshire;10457;81655
7;Liaison bypass;radical;synthesize;62284;green;CFP Division Investment;Burkina Agent Sahara;Earnestport;Chicken Cheese payment;72447;17505
8;redundant;executive cultivate Group;magenta;53856;olive;invoice parse;Cotton;Rowenaborough;haptic client-driven Dynamic;13313;52410
9;vertical Marketing Angola;value-added;Illinois USB;13741;sky blue;Avon Proactive transmitting;navigate Shirt workforce;Schambergerstad;Intelligent Berkshire;31390;26117
10;green;withdrawal Progressive Extended;maroon quantifying Supervisor;68215;olive;Coordinator bypassing;iterate orange;Lenorafurt;SDD;58795;17883
